v-sweep,i(Vout),v(V1),v(V2)
0.7493,-0.000000736572114,0.7493,0.9
0.7494,-0.000000736498183,0.7494,0.9
0.7495,-0.000000736423964,0.7495,0.9
0.7496,-0.000000736349598,0.7496,0.9
0.7497,-0.000000736275071,0.7497,0.9
0.7498,-0.000000736200331,0.7498,0.9
0.7499,-0.000000736125353,0.7499,0.9
0.75,-0.000000736050318,0.75,0.9
0.7501,-0.00000073597497,0.7501,0.9
0.7502,-0.000000735899446,0.7502,0.9
0.7503,-0.000000735823779,0.7503,0.9
0.7504,-0.000000735747854,0.7504,0.9
0.7505,-0.000000735671872,0.7505,0.9
0.7506,-0.000000735595593,0.7506,0.9
0.7507,-0.000000735519075,0.7507,0.9
0.7508,-0.000000735442399,0.7508,0.9
0.7509,-0.000000735365536,0.7509,0.9
0.751,-0.000000735288424,0.751,0.9
0.7511,-0.000000735211199,0.7511,0.9
0.7512,-0.000000735133694,0.7512,0.9
0.7513,-0.00000073505603,0.7513,0.9
0.7514,-0.00000073497827,0.7514,0.9
0.7515,-0.000000734900176,0.7515,0.9
0.7516,-0.000000734821915,0.7516,0.9
0.7517,-0.0000007347435,0.7517,0.9
0.7518,-0.000000734664763,0.7518,0.9
0.7519,-0.000000734585974,0.7519,0.9
0.752,-0.000000734506807,0.752,0.9
0.7521,-0.000000734427571,0.7521,0.9
0.7522,-0.000000734348088,0.7522,0.9
0.7523,-0.000000734268447,0.7523,0.9
0.7524,-0.000000734188562,0.7524,0.9
0.7525,-0.000000734108463,0.7525,0.9
0.7526,-0.000000734028173,0.7526,0.9
0.7527,-0.000000733947687,0.7527,0.9
0.7528,-0.000000733867035,0.7528,0.9
0.7529,-0.000000733786045,0.7529,0.9
0.753,-0.000000733704914,0.753,0.9
0.7531,-0.000000733623608,0.7531,0.9
0.7532,-0.000000733542153,0.7532,0.9
0.7533,-0.000000733460414,0.7533,0.9
0.7534,-0.000000733378391,0.7534,0.9
0.7535,-0.000000733296309,0.7535,0.9
0.7536,-0.000000733213982,0.7536,0.9
0.7537,-0.000000733131337,0.7537,0.9
0.7538,-0.00000073304863,0.7538,0.9
0.7539,-0.000000732965626,0.7539,0.9
0.754,-0.000000732882349,0.754,0.9
0.7541,-0.000000732798961,0.7541,0.9
0.7542,-0.000000732715293,0.7542,0.9
0.7543,-0.000000732631449,0.7543,0.9
0.7544,-0.000000732547427,0.7544,0.9
0.7545,-0.000000732463159,0.7545,0.9
0.7546,-0.000000732378622,0.7546,0.9
0.7547,-0.000000732293914,0.7547,0.9
0.7548,-0.000000732209035,0.7548,0.9
0.7549,-0.000000732123917,0.7549,0.9
0.755,-0.000000732038448,0.755,0.9
0.7551,-0.000000731952968,0.7551,0.9
0.7552,-0.000000731867162,0.7552,0.9
0.7553,-0.000000731781181,0.7553,0.9
0.7554,-0.000000731695005,0.7554,0.9
0.7555,-0.000000731608486,0.7555,0.9
0.7556,-0.000000731521942,0.7556,0.9
0.7557,-0.000000731434962,0.7557,0.9
0.7558,-0.000000731347891,0.7558,0.9
0.7559,-0.000000731260611,0.7559,0.9
0.756,-0.000000731173017,0.756,0.9
0.7561,-0.000000731085162,0.7561,0.9
0.7562,-0.000000730997304,0.7562,0.9
0.7563,-0.000000730909049,0.7563,0.9
0.7564,-0.000000730820535,0.7564,0.9
0.7565,-0.000000730731861,0.7565,0.9
0.7566,-0.000000730642943,0.7566,0.9
0.7567,-0.0000007305539,0.7567,0.9
0.7568,-0.000000730464553,0.7568,0.9
0.7569,-0.000000730375001,0.7569,0.9
0.757,-0.000000730285208,0.757,0.9
0.7571,-0.000000730195142,0.7571,0.9
0.7572,-0.000000730104901,0.7572,0.9
0.7573,-0.000000730014399,0.7573,0.9
0.7574,-0.000000729923688,0.7574,0.9
0.7575,-0.000000729832728,0.7575,0.9
0.7576,-0.00000072974167,0.7576,0.9
0.7577,-0.000000729650205,0.7577,0.9
0.7578,-0.000000729558547,0.7578,0.9
0.7579,-0.000000729466741,0.7579,0.9
0.758,-0.00000072937466,0.758,0.9
0.7581,-0.000000729282249,0.7581,0.9
0.7582,-0.000000729189731,0.7582,0.9
0.7583,-0.000000729096906,0.7583,0.9
0.7584,-0.000000729003846,0.7584,0.9
0.7585,-0.000000728910546,0.7585,0.9
0.7586,-0.000000728817081,0.7586,0.9
0.7587,-0.000000728723364,0.7587,0.9
0.7588,-0.000000728629344,0.7588,0.9
0.7589,-0.000000728535166,0.7589,0.9
0.759,-0.000000728440734,0.759,0.9
0.7591,-0.000000728346068,0.7591,0.9
0.7592,-0.000000728251102,0.7592,0.9
0.7593,-0.000000728155864,0.7593,0.9
0.7594,-0.000000728060531,0.7594,0.9
0.7595,-0.000000727964832,0.7595,0.9
0.7596,-0.000000727869004,0.7596,0.9
0.7597,-0.000000727772866,0.7597,0.9
0.7598,-0.000000727676518,0.7598,0.9
0.7599,-0.000000727579851,0.7599,0.9
0.76,-0.000000727483005,0.76,0.9
0.7601,-0.000000727385833,0.7601,0.9
0.7602,-0.000000727288587,0.7602,0.9
0.7603,-0.000000727190956,0.7603,0.9
0.7604,-0.000000727093104,0.7604,0.9
0.7605,-0.000000726994971,0.7605,0.9
0.7606,-0.000000726896662,0.7606,0.9
0.7607,-0.000000726798101,0.7607,0.9
